epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,3334.7,0.39049,0.31611,0.83388,0.568,0.56907,0.57295,0.34142,1.63342,1.25258,1.28864,0.0004357,0.0004357,0.0004357
59,3391.85,0.39711,0.31751,0.83682,0.5256,0.57606,0.5634,0.32818,1.65499,1.27403,1.29214,0.0004258,0.0004258,0.0004258
60,3448.98,0.38609,0.31453,0.83547,0.68138,0.53907,0.57849,0.34371,1.64595,1.26076,1.30331,0.0004159,0.0004159,0.0004159
61,3506.13,0.38156,0.30797,0.83252,0.66157,0.55558,0.57992,0.34539,1.64464,1.2458,1.29356,0.000406,0.000406,0.000406
62,3563.25,0.3846,0.31112,0.83495,0.63986,0.57649,0.58622,0.35128,1.63289,1.24266,1.28844,0.0003961,0.0003961,0.0003961
63,3620.43,0.3905,0.31479,0.83354,0.62583,0.54288,0.56689,0.3427,1.63744,1.23965,1.29492,0.0003862,0.0003862,0.0003862
64,3677.67,0.38189,0.30508,0.83339,0.54918,0.56394,0.57684,0.34397,1.61794,1.27324,1.27471,0.0003763,0.0003763,0.0003763
65,3734.84,0.37783,0.30261,0.83219,0.62192,0.56668,0.56342,0.33467,1.63889,1.24919,1.29251,0.0003664,0.0003664,0.0003664
66,3792.22,0.37966,0.30763,0.83456,0.57825,0.58738,0.58362,0.34974,1.61604,1.24205,1.29236,0.0003565,0.0003565,0.0003565
67,3849.8,0.37143,0.30008,0.83059,0.55881,0.5971,0.59049,0.34916,1.64796,1.23229,1.29798,0.0003466,0.0003466,0.0003466
68,3906.99,0.36037,0.29083,0.82987,0.60392,0.59169,0.57948,0.34735,1.62821,1.22182,1.28675,0.0003367,0.0003367,0.0003367
69,3963.97,0.36743,0.29469,0.83139,0.58985,0.57545,0.58728,0.35718,1.61623,1.24178,1.28203,0.0003268,0.0003268,0.0003268
70,4021.04,0.3693,0.29906,0.83059,0.5618,0.57823,0.57789,0.34686,1.63604,1.21334,1.29671,0.0003169,0.0003169,0.0003169
71,4078.2,0.36907,0.29693,0.83051,0.59833,0.56342,0.57568,0.34616,1.63585,1.26228,1.30192,0.000307,0.000307,0.000307
72,4135.64,0.35674,0.28676,0.82842,0.63716,0.55082,0.57601,0.35045,1.62239,1.23227,1.28873,0.0002971,0.0002971,0.0002971
73,4192.76,0.35959,0.2903,0.83028,0.58285,0.59227,0.58385,0.35609,1.63822,1.23591,1.28911,0.0002872,0.0002872,0.0002872
74,4250.13,0.36298,0.29371,0.83063,0.57548,0.58306,0.5715,0.34448,1.63654,1.24422,1.29546,0.0002773,0.0002773,0.0002773
75,4307.51,0.34971,0.28087,0.82721,0.56025,0.6123,0.57677,0.34498,1.65302,1.24494,1.30143,0.0002674,0.0002674,0.0002674
76,4364.71,0.35912,0.28857,0.83119,0.60913,0.55886,0.57928,0.34414,1.64383,1.24027,1.29718,0.0002575,0.0002575,0.0002575
77,4421.96,0.35621,0.28318,0.82874,0.61024,0.58008,0.57895,0.34594,1.63041,1.23739,1.28886,0.0002476,0.0002476,0.0002476
